x:761.386 329333
0.00194304	329428
0.00216543	329554
0.0111963	329661
0.174593	329753
0.258571	329859
0.363123	329956
0.226924	330052
0.248493	330156
0.292838	330252
0.297103	330355
0.333953	330451
0.328295	330546
0.32046	330651
0.360647	330745
0.32065	330850
0.345798	330946
0.347623	331040
0.310771	331145
0.347526	331240
0.311926	331346
0.337577	331440
0.33027	331536
0.326561	331640
0.341468	331736
0.336707	331831
0.294531	331937
0.334982	332036
0.357209	332128
0.296019	332233
0.335018	332330
0.311959	332433
0.260651	332561
0.335101	332656
0.296365	332762
0.339888	332856
0.309933	332960
0.324484	333059
0.33179	333156
0.339226	333252
0.306271	333355
0.353721	333449
0.272641	333556
0	333651
0	333746
0	333851
0	333946
0	334043
0	334148
0	334243
